date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:42	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2258389366-247c%22	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/glyphicons-halflings-regular.woff2	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/glyphicons-halflings-regular.woff2	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/bootstrap.min.css)
15:27:43	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22583c90dd-247c%22	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/glyphicons-halflings-regular.woff	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/glyphicons-halflings-regular.woff	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/bootstrap.min.css)
15:27:43	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22583c90dd-247c%22	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/glyphicons-halflings-regular.ttf	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/glyphicons-halflings-regular.ttf	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/bootstrap.min.css)
15:27:43	85188/85188	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/js/jquery.themepunch.plugins.min.js	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/js/jquery.themepunch.plugins.min.js	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:43	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2258389366-247c%22	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/glyphicons-halflings-regular.svg	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/glyphicons-halflings-regular.svg	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/bootstrap.min.css)
15:27:46	98696/98696	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/freeze-angled2.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/freeze-angled2.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:55	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/fontawesome-webfont.eot?v=4.1.0	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/fontawesome-webfont862f.eot	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/font-awesome.min.css)
15:27:55	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/fontawesome-webfont.eot?	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/fontawesome-webfontd41d.eot	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/font-awesome.min.css)
15:27:55	253487/253487	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/fontawesome-webfont.svg?v=4.1.0	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/fontawesome-webfont862f.svg	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/font-awesome.min.css)
15:27:57	3208/3208	---M--	200	added ('OK')	image/gif	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/ajax-loader.gif	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/css/ajax-loader.gif	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/slick.css)
15:27:58	83760/83760	---M--	200	added ('OK')	application/font-woff	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/fontawesome-webfont.woff?v=4.1.0	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/fontawesome-webfont862f.woff	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/font-awesome.min.css)
15:27:59	4289/4289	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/shadow1.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/shadow1.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
15:28:01	5661/5661	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/shadow2.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/shadow2.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
15:28:01	141564/141564	---M-Z	200	added ('OK')	application/x-font-ttf	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/fontawesome-webfont.ttf?v=4.1.0	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/fontawesome-webfont862f.ttf	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/font-awesome.min.css)
15:28:02	933/933	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/gridtile.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/gridtile.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
15:28:02	6428/6428	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/shadow3.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/shadow3.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
15:28:02	931/931	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/gridtile_white.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/gridtile_white.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
15:28:03	42935/42935	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/images/gradient/g30.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/images/gradient/g30.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
15:28:03	938/938	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/gridtile_3x3.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/gridtile_3x3.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
15:28:03	42464/42464	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/images/gradient/g40.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/images/gradient/g40.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
15:28:03	935/935	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/gridtile_3x3_white.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/gridtile_3x3_white.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
15:28:03	2746/2746	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/boxed_bgtile.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/boxed_bgtile.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
15:28:03	149/149	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/navigdots_bgtile.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/navigdots_bgtile.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
15:28:03	1592/1592	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/bullet.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/bullet.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
15:28:04	1153/1153	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/bullets.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/bullets.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
15:28:04	278/278	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/bullets2.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/bullets2.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
15:28:04	924/924	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/bullet_boxed.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/bullet_boxed.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
15:28:04	743/743	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/navigdots.png	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/assets/navigdots.png	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/css/settings.css)
